origen,destino,duracion,precio,calidad_del_boleto
A Coruña,Zaragoza,2.62,167.53,VIP
Valencia,Las Palmas,4.34,140.73,Básico
Vigo,Valencia,3.21,105.48,Básico
Málaga,Palma,2.64,105.7,Básico
Santander,Palma,1.09,49.49,Estándar
Barcelona,Málaga,1.52,72.61,Estándar
Málaga,Palma,1.66,70.49,Básico
A Coruña,Zaragoza,2.0,94.55,Estándar
Vigo,Bilbao,1.42,87.84,Estándar
Alicante,Granada,1.12,55.74,Básico
Málaga,Las Palmas,3.66,185.34,Estándar
Sevilla,Santander,2.38,96.6,Estándar
Sevilla,Málaga,2.66,199.01,VIP
Vigo,Valencia,3.2,144.4,Estándar
Alicante,Palma,3.41,139.29,Básico
Vigo,Barcelona,3.13,136.71,Premium
Las Palmas,Barcelona,2.8,78.46,Estándar
Málaga,Palma,2.57,103.75,Básico
Santander,A Coruña,3.53,247.46,VIP
Granada,Valencia,1.07,53.77,Estándar
Las Palmas,Barcelona,3.83,159.73,Estándar
Barcelona,Granada,3.41,105.0,Estándar
Málaga,Las Palmas,4.27,200.56,Básico
Granada,Santander,1.49,87.38,Estándar
Málaga,Las Palmas,3.86,135.72,Básico
Madrid,Palma,2.96,134.12,Básico
Las Palmas,Zaragoza,4.44,125.66,Estándar
Vigo,Bilbao,1.37,69.02,Básico
Alicante,Sevilla,2.94,121.99,Estándar
Málaga,Las Palmas,4.37,180.02,Básico
Alicante,Santander,1.12,64.15,Básico
Vigo,Bilbao,3.54,105.07,Básico
Palma,Granada,0.9,43.12,Básico
Sevilla,Bilbao,3.1,138.9,Estándar
Vigo,Valencia,3.6,238.46,Premium
Barcelona,Granada,2.94,121.65,Básico
Santa Cruz de Tenerife,Granada,3.59,231.19,Premium
Vigo,Bilbao,1.69,71.55,Básico
Barcelona,Santa Cruz de Tenerife,2.4,109.99,Básico
A Coruña,Madrid,1.93,104.69,Estándar
Barcelona,Santa Cruz de Tenerife,4.98,178.59,Básico
Madrid,Zaragoza,0.71,44.86,Básico
Palma,Granada,1.68,92.99,Premium
Las Palmas,Barcelona,1.69,72.21,Básico
Barcelona,Málaga,2.92,134.62,Estándar
Barcelona,Granada,1.56,88.21,Estándar
Granada,Santa Cruz de Tenerife,2.74,76.51,Básico
Alicante,Palma,3.12,134.73,Básico
Alicante,Granada,2.69,106.02,Premium
Las Palmas,Sevilla,3.97,167.41,Premium
Valencia,Las Palmas,2.01,93.47,Premium
Granada,Valencia,3.08,152.64,Estándar
Las Palmas,Zaragoza,4.64,183.34,Básico
