origen,destino,duracion,precio,calidad_del_boleto
Málaga,Santa Cruz de Tenerife,21.81,249.01,Estándar
Huelva,Tarragona,10.35,94.56,Estándar
Las Palmas,A Coruña,22.33,183.04,Estándar
Las Palmas,Bilbao,14.1,168.47,Básico
Murcia,Girona,12.62,140.5,Estándar
Huelva,Santander,11.95,144.14,Estándar
Palma,Las Palmas,26.6,293.54,Básico
Girona,Castellón,9.55,156.3,VIP
Huelva,Tarragona,16.83,138.29,Básico
Vigo,Lugo,14.45,111.49,Estándar
Lugo,Cádiz,7.82,57.22,Básico
Las Palmas,Murcia,15.86,125.14,Básico
Santa Cruz de Tenerife,Lugo,16.62,214.24,Estándar
Tarragona,Bilbao,9.17,115.5,Básico
A Coruña,Vigo,6.03,49.06,Estándar
Santa Cruz de Tenerife,Girona,23.66,128.13,Básico
Tarragona,Málaga,12.83,99.14,Básico
Bilbao,Murcia,15.06,114.36,Básico
Santa Cruz de Tenerife,Almería,22.24,157.65,Básico
Alicante,Santander,8.03,83.2,Básico
Vigo,Santa Cruz de Tenerife,22.53,261.63,Básico
Bilbao,Murcia,7.6,116.77,Estándar
Barcelona,Alicante,8.05,81.98,Básico
A Coruña,Santander,3.56,45.76,Básico
Cádiz,Bilbao,17.03,229.3,Estándar
Las Palmas,Murcia,25.05,230.6,Estándar
Huelva,Málaga,6.25,72.89,Básico
Huelva,Alicante,13.19,148.94,Estándar
Las Palmas,Palma,18.8,177.61,Básico
Santander,Almería,5.92,63.11,Básico
Alicante,Santa Cruz de Tenerife,23.54,136.4,Básico
Las Palmas,A Coruña,17.11,127.72,Estándar
Palma,Murcia,16.87,170.42,Básico
Lugo,A Coruña,10.59,111.86,Estándar
Málaga,Vigo,11.63,144.91,Estándar
Santander,Lugo,13.23,152.67,Básico
Palma,Las Palmas,18.13,113.0,Básico
A Coruña,Murcia,8.23,121.25,Premium
Málaga,Almería,16.51,139.56,Premium
Vigo,Santa Cruz de Tenerife,22.64,249.53,Premium
Vigo,Huelva,9.58,68.57,Estándar
Gijón,Girona,14.85,110.86,Estándar
Santander,Barcelona,8.61,90.59,Estándar
Las Palmas,Huelva,14.28,113.67,Estándar
Castellón,Bilbao,10.34,71.7,Estándar
Tarragona,Bilbao,7.07,69.55,Básico
Santa Cruz de Tenerife,Lugo,17.37,219.61,Premium
Palma,Barcelona,16.58,233.77,Premium
Barcelona,Almería,10.66,130.42,Premium
A Coruña,Vigo,11.6,118.78,Estándar
Las Palmas,Palma,18.83,206.84,Básico
Murcia,Málaga,8.64,79.93,Básico
Lugo,Cádiz,5.49,60.29,Básico
Huelva,Vigo,6.15,70.15,Básico
Girona,Castellón,4.95,48.95,Estándar
Palma,Lugo,15.24,164.31,Básico
Huelva,Tarragona,16.54,139.98,Estándar
Vigo,Gijón,14.16,117.21,Estándar
Las Palmas,Cádiz,14.85,139.25,Estándar
Huelva,Santa Cruz de Tenerife,19.21,151.03,Estándar
Tarragona,Bilbao,10.0,135.58,Estándar
Tarragona,Bilbao,10.91,124.08,Estándar
Vigo,Murcia,9.48,91.68,Básico
Santander,Murcia,16.76,176.98,Estándar
Santa Cruz de Tenerife,Lugo,18.79,137.3,Básico
Bilbao,Murcia,4.02,61.47,Estándar
Málaga,A Coruña,15.34,154.57,Estándar
Huelva,Santa Cruz de Tenerife,19.02,205.45,Básico
Palma,Santa Cruz de Tenerife,20.18,224.27,Estándar
Las Palmas,Lugo,17.78,228.92,Premium
Tarragona,Valencia,7.5,70.2,Estándar
Huelva,Tarragona,10.8,100.4,Estándar
Huelva,Alicante,6.77,59.66,Estándar
Huelva,Tarragona,14.03,134.15,Básico
Huelva,Valencia,7.37,101.5,Básico
Las Palmas,Lugo,20.48,247.02,Estándar
Las Palmas,Lugo,23.11,244.98,Básico
Girona,Castellón,13.8,115.59,Básico
Vigo,Lugo,4.61,58.78,Estándar
Huelva,Alicante,10.74,130.91,Básico
Huelva,Santa Cruz de Tenerife,15.05,153.01,Estándar
Palma,Murcia,4.24,61.44,Básico
Vigo,Santa Cruz de Tenerife,15.3,148.95,Estándar
