origen,destino,fecha,duracion,precio,calidad_del_boleto
Zaragoza,Valencia,2026-10-24,1.67,95.33,Básico
Sevilla,Barcelona,2026-04-16,1.15,47.33,Básico
Madrid,Melilla,2026-10-06,1.37,59.68,Estándar
Vigo,Madrid,2026-11-27,1.06,48.01,Básico
Cádiz,Ibiza,2026-06-06,1.61,99.89,Básico
Barcelona,Melilla,2026-04-08,0.78,69.88,Estándar
Madrid,Santa Cruz de Tenerife,2026-11-30,2.98,118.55,Básico
A Coruña,Alicante,2026-05-31,0.92,88.87,Estándar
Barcelona,Melilla,2026-08-13,1.89,58.86,Estándar
Mahón,Logroño,2026-10-29,1.91,57.92,Básico
Barcelona,Palma,2026-03-01,1.46,106.0,Estándar
Barcelona,Palma,2026-03-23,1.94,90.62,Estándar
San Sebastián,Pamplona,2026-07-23,1.36,86.58,Básico
Cádiz,Gijón,2026-05-19,1.13,114.26,VIP
Madrid,Las Palmas,2026-08-07,2.95,150.75,Básico
Málaga,Palma,2026-08-25,1.71,105.77,Estándar
Madrid,Ibiza,2026-06-06,1.35,82.88,Estándar
Barcelona,Ibiza,2026-07-08,1.85,97.81,Premium
Bilbao,Barcelona,2026-05-16,1.35,52.48,Básico
Bilbao,Toledo,2026-10-13,1.47,94.21,Estándar
Salamanca,Huelva,2026-04-28,1.04,53.18,Estándar
Bilbao,Barcelona,2026-09-14,1.26,105.68,Estándar
Salamanca,Córdoba,2026-11-09,1.31,92.24,Estándar
Barcelona,Melilla,2026-03-25,1.71,68.98,Básico
Gijón,Bilbao,2026-12-14,1.55,55.97,Básico
Santa Cruz de Tenerife,Santander,2026-10-30,2.96,181.54,VIP
Madrid,Melilla,2026-06-23,1.53,69.65,Básico
Madrid,Melilla,2026-03-09,1.43,57.96,Básico
Sevilla,Barcelona,2026-05-07,1.32,126.18,Premium
Alicante,Ibiza,2026-04-08,1.17,87.05,Premium
Madrid,Valencia,2026-03-03,1.17,79.55,Estándar
Vigo,Badajoz,2026-06-12,1.53,90.84,Estándar
Barcelona,Ibiza,2026-05-12,1.05,139.13,VIP
Madrid,Santa Cruz de Tenerife,2026-10-13,3.12,129.78,Básico
Barcelona,Santa Cruz de Tenerife,2026-09-03,2.71,148.13,Premium
Vigo,Palma,2026-07-24,1.69,64.67,Básico
Mahón,Gijón,2026-09-29,1.58,74.82,Básico
Barcelona,Palma,2026-04-13,1.14,61.66,Premium
Cádiz,Almería,2026-05-31,1.67,88.73,Estándar
Vigo,Madrid,2026-06-21,1.08,55.18,Estándar
Sevilla,Barcelona,2026-05-04,0.99,72.65,Básico
Bilbao,Barcelona,2026-07-06,0.68,51.43,Básico
Barcelona,Ibiza,2026-11-01,1.38,98.3,Premium
Madrid,Ibiza,2026-07-22,1.74,107.1,Estándar
Bilbao,Palma,2026-04-18,1.12,62.88,Básico
Málaga,Palma,2026-06-10,1.29,94.46,Básico
Madrid,Palma,2026-10-27,0.84,62.33,Estándar
Barcelona,Melilla,2026-06-26,1.15,58.78,Básico
Bilbao,Palma,2026-04-07,1.38,61.8,Estándar
Bilbao,Palma,2026-11-26,1.63,130.76,Premium
Madrid,Valencia,2026-11-02,1.7,75.64,Estándar
Barcelona,Santa Cruz de Tenerife,2026-09-02,3.28,191.72,Premium
Barcelona,Melilla,2026-10-04,1.3,77.4,Básico
Oviedo,Sevilla,2026-10-15,1.65,45.98,Básico
Madrid,Melilla,2026-05-05,1.0,123.72,VIP
Barcelona,Melilla,2026-11-07,0.86,45.63,Básico
Madrid,Ibiza,2026-04-01,1.55,96.22,Estándar
Madrid,Las Palmas,2026-11-24,3.52,112.84,Básico
Madrid,Ibiza,2026-07-16,1.51,65.68,Básico
Sevilla,Granada,2026-11-09,1.8,80.87,Básico
Madrid,Santa Cruz de Tenerife,2026-07-13,3.0,125.84,Básico
Pamplona,Valladolid,2026-09-03,1.43,97.29,Premium
Barcelona,Ibiza,2026-08-21,1.59,137.83,Premium
Bilbao,Palma,2026-06-08,1.58,76.3,Básico
Almería,Pamplona,2026-10-12,1.88,127.05,VIP
Madrid,Valencia,2026-08-11,1.68,99.32,Estándar
Barcelona,Ibiza,2026-05-09,0.99,76.52,Básico
Girona,Zaragoza,2026-07-09,0.67,72.55,VIP
Oviedo,Salamanca,2026-10-19,1.56,98.32,Básico
Barcelona,Ibiza,2026-07-02,1.54,113.59,Estándar
Málaga,Palma,2026-06-05,0.9,56.65,Estándar
Alicante,Ibiza,2026-11-29,0.92,46.21,Básico
Bilbao,Palma,2026-03-28,0.86,89.83,Estándar
Madrid,Las Palmas,2026-03-14,4.06,188.32,Estándar
Madrid,Melilla,2026-06-02,1.64,93.85,Básico
Sevilla,Valencia,2026-06-10,1.51,81.53,Estándar
Huelva,Salamanca,2026-09-16,1.31,60.51,Estándar
Madrid,Palma,2026-05-16,1.49,89.79,Básico
Sevilla,Barcelona,2026-10-10,1.45,98.21,Básico
Barcelona,Sevilla,2026-07-20,1.74,54.15,Básico
Valencia,Palma,2026-04-07,1.7,83.24,Estándar
Madrid,Valencia,2026-10-16,0.94,36.82,Básico
Barcelona,Santa Cruz de Tenerife,2026-03-10,4.32,103.92,Básico
Oviedo,A Coruña,2026-11-21,1.79,89.54,Estándar
Barcelona,Las Palmas,2026-11-26,3.85,171.64,Estándar
Madrid,Santa Cruz de Tenerife,2026-07-29,3.94,159.02,Básico
Málaga,Palma,2026-03-15,2.03,111.38,Básico
Toledo,Sevilla,2026-05-29,1.09,58.4,Básico
Barcelona,Palma,2026-04-30,1.13,93.6,Estándar
Vigo,Madrid,2026-03-19,1.27,96.07,Estándar
Málaga,Huelva,2026-12-16,0.93,43.11,Básico
Madrid,Melilla,2026-03-24,0.81,42.59,Básico
Sevilla,Barcelona,2026-11-01,1.22,53.33,Básico
Barcelona,Ibiza,2026-05-28,1.79,110.75,Básico
Málaga,Melilla,2026-11-21,1.84,83.16,Básico
Gijón,Santander,2026-11-15,0.87,61.92,Estándar
Madrid,Palma,2026-12-18,0.98,99.39,Premium
Barcelona,Sevilla,2026-10-02,1.3,66.45,Estándar
Madrid,Santa Cruz de Tenerife,2026-11-19,3.27,119.36,Básico
Madrid,Santa Cruz de Tenerife,2026-05-01,2.58,141.49,Básico
