origen,destino,fecha,duracion,precio,calidad_del_boleto
Vigo,Las Palmas,2026-06-30,35.91,157.81,Estándar
Melilla,Valencia,2026-08-09,3.21,65.26,Estándar
Barcelona,Mahón,2026-11-13,10.32,74.04,Premium
Málaga,Melilla,2026-09-24,3.11,47.39,Básico
Huelva,Ceuta,2026-10-23,4.31,58.41,Estándar
Vigo,A Coruña,2026-12-04,13.96,57.81,Estándar
Vigo,Alicante,2026-07-18,16.05,90.97,Básico
Málaga,Ibiza,2026-08-24,9.61,61.08,Estándar
Melilla,Santander,2026-08-19,6.3,41.23,Básico
Bilbao,Santander,2026-04-11,16.36,106.87,Estándar
Cádiz,Ceuta,2026-09-30,5.77,65.2,Estándar
Huelva,A Coruña,2026-07-28,20.01,89.26,Estándar
Cádiz,Las Palmas,2026-09-10,47.73,210.59,Básico
Málaga,Ceuta,2026-06-15,3.58,39.3,Estándar
Vigo,A Coruña,2026-05-27,18.16,68.19,Básico
Cádiz,Valencia,2026-09-03,16.84,86.64,Estándar
Palma,Málaga,2026-10-19,10.06,99.92,Premium
Barcelona,A Coruña,2026-03-08,9.57,57.82,Premium
Ceuta,Barcelona,2026-09-02,3.54,59.74,Básico
Almería,Melilla,2026-12-14,3.58,44.21,Básico
Barcelona,Palma,2026-04-07,8.58,64.33,Básico
Barcelona,Ibiza,2026-06-08,7.68,68.82,Estándar
Vigo,A Coruña,2026-09-22,13.04,55.94,Básico
Vigo,A Coruña,2026-04-03,19.97,90.42,Básico
Málaga,Melilla,2026-11-21,4.09,36.62,Básico
Málaga,Ceuta,2026-07-22,3.71,45.46,Básico
Málaga,Cádiz,2026-12-04,10.67,75.75,Básico
Barcelona,Ibiza,2026-03-11,12.19,77.8,Básico
A Coruña,Santa Cruz de Tenerife,2026-07-03,50.5,151.27,Estándar
Málaga,Melilla,2026-09-30,5.73,61.43,Estándar
Valencia,Ibiza,2026-07-25,7.3,50.31,Estándar
Melilla,Palma,2026-10-14,9.09,58.93,Básico
Barcelona,Mahón,2026-08-26,8.04,79.81,Premium
Valencia,Palma,2026-09-19,9.64,75.79,Estándar
Bilbao,A Coruña,2026-09-25,9.15,57.55,Básico
Valencia,A Coruña,2026-05-11,10.14,65.32,Estándar
Ceuta,Ibiza,2026-03-06,7.44,60.56,Premium
Barcelona,Valencia,2026-12-14,18.04,100.92,Estándar
Huelva,Las Palmas,2026-08-08,44.28,140.94,Básico
Barcelona,Palma,2026-08-22,9.75,54.33,Estándar
Almería,Melilla,2026-07-14,3.43,41.0,Básico
Valencia,Palma,2026-06-22,6.53,77.37,Estándar
A Coruña,Santa Cruz de Tenerife,2026-10-07,43.48,174.67,Básico
Cádiz,Santa Cruz de Tenerife,2026-04-03,44.68,144.76,Estándar
Valencia,Ibiza,2026-10-28,8.53,57.16,Básico
Valencia,Ibiza,2026-04-19,7.15,50.91,Estándar
Valencia,Ibiza,2026-08-19,6.42,58.28,Estándar
Vigo,A Coruña,2026-03-02,8.5,63.79,Básico
Vigo,Palma,2026-06-19,7.85,81.26,Estándar
Valencia,Ibiza,2026-08-19,6.69,63.1,Estándar
Málaga,Ceuta,2026-11-25,4.22,41.89,Estándar
A Coruña,Santa Cruz de Tenerife,2026-12-06,45.47,177.43,Básico
Málaga,Ceuta,2026-11-28,6.18,51.78,Estándar
Cádiz,Santa Cruz de Tenerife,2026-08-30,33.99,173.13,Estándar
Málaga,Melilla,2026-07-01,2.64,31.42,Estándar
Málaga,Cádiz,2026-06-05,14.01,74.77,Premium
Barcelona,Málaga,2026-11-19,13.73,87.79,Estándar
Ceuta,Barcelona,2026-12-08,2.29,55.48,Estándar
Valencia,Mahón,2026-06-17,6.91,63.68,Estándar
Málaga,Ceuta,2026-10-02,1.68,56.92,Estándar
Almería,Melilla,2026-09-05,5.29,58.98,Estándar
