origen,destino,duracion,precio,calidad_del_boleto
Valencia,Logroño,1.27,32.77,Estándar
Santander,Pamplona,0.92,21.75,Básico
Barcelona,Valladolid,4.85,66.92,Estándar
Barcelona,Valladolid,1.62,38.7,Estándar
A Coruña,Salamanca,1.98,49.28,Estándar
Málaga,Valencia,6.04,132.6,Estándar
Valladolid,Logroño,3.48,83.57,Estándar
A Coruña,Santander,2.12,41.55,Básico
Alicante,Zaragoza,2.72,60.49,Estándar
Santander,León,2.53,38.92,Premium
Santander,Pamplona,1.77,48.85,Premium
Valladolid,Burgos,4.56,82.39,Premium
Barcelona,Valladolid,2.45,61.11,Premium
Toledo,Málaga,1.1,25.34,Básico
Gijón,Toledo,5.46,83.14,Estándar
Barcelona,Salamanca,3.69,78.69,Básico
Madrid,Girona,4.6,73.3,Estándar
Santander,Burgos,1.32,43.36,Estándar
Valencia,Logroño,1.43,29.87,Estándar
Toledo,Granada,5.68,105.3,Básico
Alicante,Zaragoza,1.6,34.7,Básico
Madrid,Burgos,1.39,30.49,Premium
A Coruña,Burgos,3.75,66.62,Premium
Santander,Burgos,1.75,66.07,Premium
Sevilla,Murcia,5.67,74.48,Básico
Sevilla,Bilbao,6.63,105.42,Premium
Pamplona,Córdoba,5.5,142.86,Premium
A Coruña,Valencia,3.06,43.19,Básico
Alicante,Sevilla,2.6,65.59,Estándar
Madrid,Córdoba,2.4,62.44,Premium
Burgos,Alicante,5.48,89.34,Básico
A Coruña,Burgos,5.77,78.38,Premium
Gijón,Logroño,6.38,104.51,Básico
Oviedo,Málaga,4.0,51.33,Premium
Logroño,León,5.41,139.22,Premium
León,Tarragona,2.6,50.21,Estándar
Vigo,Tarragona,5.94,82.01,Estándar
Santander,León,3.1,57.58,Estándar
Madrid,Burgos,2.91,63.26,Estándar
Toledo,Córdoba,3.88,125.6,VIP
Alicante,Zaragoza,2.77,56.6,Premium
Toledo,Murcia,2.46,54.38,Estándar
Alicante,Zaragoza,1.78,57.0,Premium
Vigo,Málaga,2.4,38.72,Básico
Vigo,Málaga,4.5,68.63,Básico
Valladolid,Granada,5.61,80.74,Premium
A Coruña,Burgos,4.86,84.6,Premium
A Coruña,Burgos,4.19,82.65,Básico
Burgos,Toledo,3.52,63.35,Estándar
Valencia,Burgos,5.65,89.97,Estándar
Vigo,Málaga,4.05,101.88,Premium
Sevilla,Granada,2.02,44.4,Premium
